symbol,groww_slug
ANURAS,anupam-rasayan-india-ltd
APARINDS,apar-industries-ltd
APCL,anjani-portland-cement-ltd
APCOTEXIND,apcotex-industries-ltd
APEX,apex-frozen-foods-ltd
APLAPOLLO,apl-apollo-tubes-ltd
APLLTD,alembic-pharmaceuticals-ltd
APOLLO,apollo-micro-systems-ltd
APOLLOHOSP,apollo-hospitals-enterprise-ltd
APOLLOPIPE,apollo-pipes-ltd
APOLLOTYRE,apollo-tyres-ltd
APOLSINHOT,apollo-sindoori-hotels-ltd
APOORVA,apoorva-leasing-finance-and-investment-company-ltd
APTECHT,aptech-ltd
APTUS,aptus-value-housing-finance-india-ltd
AQYLON,aqylon-nexus-ltd
ARCHIDPLY,archidply-industries-ltd
ARCHIES,archies-ltd
ARCL,arcl-organics-ltd
ARDEE,ardee-industries-ltd
ARE&M,amara-raja-energy-mobility-ltd
ARENTERP,rajdarshan-industries-ltd
ARFIN,arfin-india-ltd
ARIES,aries-agro-ltd
ARIHANT,arihant-foundations-housing-ltd
ARIHANTCAP,arihant-capital-markets-ltd
ARIHANTSUP,arihant-superstructures-ltd
ARIS,arisinfra-solutions-ltd
ARKADE,arkade-developers-ltd
ARMANFIN,arman-financial-services-ltd
AROGRANITE,aro-granite-industries-ltd
ARROWGREEN,arrow-greentech-ltd
ARSHIYA,arshiya-ltd
ARSSBL,anand-rathi-share-and-stock-brokers-ltd
ARTEMISMED,artemis-medicare-services-ltd
ARTNIRMAN,art-nirman-ltd
ARVEE,arvee-laboratories-india-ltd
ARVIND,arvind-ltd
ARVINDFASN,arvind-fashions-ltd
ARVSMART,arvind-smartspaces-ltd
ARYAMAN,aryaman-financial-services-ltd
ASAHIINDIA,asahi-india-glass-ltd
ASAHISONG,asahi-songwon-colors-ltd
ASAL,automotive-stampings-and-assemblies-ltd
ASALCBR,associated-alcohols-breweries-ltd
ASHAPURMIN,ashapura-minechem-ltd
ASHIANA,ashiana-housing-ltd
ASHIKAG,ashika-global-securities-ltd
ASHIMASYN,ashima-ltd
ASHOKA,ashoka-buildcon-ltd
ASHOKAMET,ashoka-metcast-ltd
ASHOKLEY,ashok-leyland-ltd
ASIANENE,asian-energy-services-ltd
ASIANHOTNR,asian-hotels-north-ltd
ASIANPAINT,asian-paints-ltd
ASIANTILES,asian-granito-india-ltd
ASIANTNE,asian-tea-exports-ltd
ASKAUTOLTD,ask-automotive-ltd
ASMS,avio-smart-market-stack-ltd
ASPINWALL,aspinwall-and-company-ltd
ASSAMENT,assam-entrade-ltd
ASTAR,asian-star-company-ltd
ASTEC,astec-lifesciences-ltd
ASTERDM,aster-dm-quality-care-ltd
ASTRAL,astral-ltd
ASTRAMICRO,astra-microwave-products-ltd
ASTRAZEN,astrazeneca-pharma-india-ltd
ASTRON,astron-paper-board-mill-ltd
ATALREAL,atal-realtech-ltd
ATAM,atam-valves-ltd
ATGL,adani-total-gas-ltd
ATHERENERG,ather-energy-ltd
ATL,allcargo-terminals-ltd
ATLANTAA,atlantaa-ltd
ATLANTAELE,atlanta-electricals-ltd
ATLASCYCLE,atlas-cycles-haryana-ltd
ATUL,atul-ltd
ATULAUTO,atul-auto-ltd
AUBANK,au-small-finance-bank-ltd
AURIONPRO,aurionpro-solutions-ltd
AUROPHARMA,aurobindo-pharma-ltd
AURUM,aurum-proptech-ltd
AURUS,aurus-gem-corporation-ltd
AUSOMENT,ausom-enterprise-ltd
AUSTENG,austin-engineering-company-ltd
AUTOAXLES,automotive-axles-ltd
AUTOIND,autoline-industries-ltd
AVADHSUGAR,avadh-sugar-energy-ltd
AVALON,avalon-technologies-ltd
AVANCE,avance-technologies-ltd
AVANTEL,avantel-ltd
AVANTIFEED,avanti-feeds-ltd
AVG,avg-logistics-ltd
AVL,aditya-vision-ltd
AVONMORE,avonmore-capital-management-services-ltd
AVROIND,avro-india-ltd
AVTNPL,avt-natural-products-ltd
AWFIS,awfis-space-solutions-ltd
AWHCL,antony-waste-handling-cell-ltd
AWL,awl-agri-business-ltd
AXISBANK,axis-bank-ltd
AXISCADES,axiscades-technologies-ltd
AXITA,axita-cotton-ltd
AXTEL,axtel-industries-ltd
AYE,aye-finance-ltd
AYMSYNTEX,aym-syntex-ltd
AZAD,azad-engineering-ltd
AZADIND,azad-india-mobility-ltd
BAFNAPH,bafna-pharmaceuticals-ltd
BAGFILMS,b-a-g-films-and-media-ltd
BAIDFIN,baid-finserv-ltd
BAJAJ-AUTO,bajaj-auto-ltd
BAJAJCON,bajaj-consumer-care-ltd
BAJAJELEC,bajaj-electricals-ltd
BAJAJFINSV,bajaj-finserv-ltd
BAJAJHCARE,bajaj-healthcare-ltd
BAJAJHFL,bajaj-housing-finance-ltd
BAJAJHIND,bajaj-hindusthan-sugar-ltd
BAJAJHLDNG,bajaj-holdings-investment-ltd
BAJAJINDEF,indef-manufacturing-ltd
BAJAJST,bajaj-steel-industries-ltd
BAJEL,bajel-projects-ltd
BAJFINANCE,bajaj-finance-ltd
BALAJEE,shree-tirupati-balajee-agro-trading-company-ltd
BALAJITELE,balaji-telefilms-ltd
BALAMINES,balaji-amines-ltd
BALAXI,balaxi-pharmaceuticals-ltd
BALKRISHNA,balkrishna-paper-mills-ltd
BALKRISIND,balkrishna-industries-ltd
BALMLAWRIE,balmer-lawrie-company-ltd
BALPHARMA,bal-pharma-ltd
BALRAMCHIN,balrampur-chini-mills-ltd
BALUFORGE,balu-forge-industries-ltd
BANARBEADS,banaras-beads-ltd
BANARISUG,bannari-amman-sugars-ltd
BANCOINDIA,banco-products-i-ltd
BANDHANBNK,bandhan-bank-ltd
BANG,bang-overseas-ltd
BANKA,banka-bioloo-ltd
BANKBARODA,bank-of-baroda
BANKINDIA,bank-of-india
BANSALWIRE,bansal-wire-industries-ltd
BANSWRAS,banswara-syntex-ltd
BASF,basf-india-ltd
BASML,bannari-amman-spinning-mills-ltd
BATAINDIA,bata-india-ltd
BATLIBOI,batliboi-ltd
BAYERCROP,bayer-cropscience-ltd
BBL,bharat-bijlee-ltd
BBOX,black-box-ltd
BBTC,the-bombay-burmah-trading-corporation-ltd
BBTCL,b-b-triplewall-containers-ltd
BCG,brightcom-group-ltd
BCLIND,bcl-industries-ltd
BCONCEPTS,brand-concepts-ltd
BCPL,bcpl-railway-infrastructure-ltd
BDL,bharat-dynamics-ltd
BEARDSELL,beardsell-ltd
BECTORFOOD,mrs-bectors-food-specialities-ltd
BEDMUTHA,bedmutha-industries-ltd
BEEKAY,beekay-steel-industries-ltd
BEL,bharat-electronics-ltd
BELLACASA,bella-casa-fashion-retail-ltd
BELRISE,belrise-industries-ltd
BEML,beml-ltd
BENARAS,benares-hotels-ltd
BENGALASM,bengal-assam-company-ltd
BEPL,bhansali-engineering-polymers-ltd
BERGEPAINT,berger-paints-i-ltd
BESTAGRO,best-agrolife-ltd
BETA,beta-drugs-ltd
BFINVEST,bf-investment-ltd
BFUTILITIE,bf-utilities-ltd
BGRENERGY,bgr-energy-systems-ltd
BHAGCHEM,bhagiradha-chemicals-industries-ltd
BHAGERIA,bhageria-industries-ltd
BHAGYANGR,bhagyanagar-india-ltd
BHANDARI,bhandari-hosiery-exports-ltd
BHARATCOAL,bharat-coking-coal-ltd
BHARATFORG,bharat-forge-ltd
BHARATGEAR,bharat-gears-ltd
BHARATRAS,bharat-rasayan-ltd
BHARATSE,bharat-seats-ltd
BHARATWIRE,bharat-wire-ropes-ltd
BHARTIARTL,bharti-airtel-ltd
BHARTIHEXA,bharti-hexacom-ltd
BHEL,bharat-heavy-electricals-ltd
BI,bilcare-ltd
BIGBLOC,bigbloc-construction-ltd
BIKAJI,bikaji-foods-international-ltd
BIL,bhartiya-international-ltd
BILVYAPAR,bil-vyapar-ltd
BIMETAL,bimetal-bearings-ltd
BIOCON,biocon-ltd
BIOFILCHEM,biofil-chemicals-pharmaceuticals-ltd
BIRLACABLE,birla-cable-ltd
BIRLACORPN,birla-corporation-ltd
BIRLAMONEY,aditya-birla-money-ltd
BIRLANU,birlanu-ltd
BIRLAPREC,birla-precision-technologies-ltd
BLACKBUCK,blackbuck-ltd
BLACKROSE,black-rose-inds-ltd
BLAL,beml-land-assets-ltd
BLBLIMITED,blb-ltd
BLEL,behari-lal-engineering-ltd
BLIL,balmer-lawrie-investments-ltd
BLISSGVS,bliss-gvs-pharma-ltd
BLKASHYAP,b-l-kashyap-and-sons-ltd
BLS,bls-international-services-ltd
BLSE,bls-e-services-ltd
BLUECHIP,blue-chip-india-ltd
BLUECLOUDS,blue-cloud-softech-solutions-ltd
BLUECOAST,blue-coast-hotels-ltd
BLUEDART,blue-dart-express-ltd
BLUEJET,blue-jet-healthcare-ltd
BLUESTARCO,blue-star-ltd
BLUESTONE,bluestone-jewellery-and-lifestyle-ltd
BLUSPRING,bluspring-enterprises-ltd
BMWVENTLTD,bmw-ventures-ltd
BNAGROCHEM,bn-agrochem-ltd
BNALTD,b-a-ltd
BODALCHEM,bodal-chemicals-ltd
BOHRAIND,bohra-industries-ltd
BOMDYEING,bombay-dyeing-mfg-company-ltd
BONLON,bonlon-industries-ltd
BORANA,borana-weaves-ltd
BOROLTD,borosil-ltd
BORORENEW,borosil-renewables-ltd
BOROSCI,borosil-scientific-ltd
BOSCH-HCIL,bosch-home-comfort-india-ltd
BOSCHLTD,bosch-ltd
BPCL,bharat-petroleum-corporation-ltd
BPL,bpl-ltd
BPLPHARMA,bharat-parenterals-ltd
BRAHMINFRA,brahmaputra-infrastructure-ltd
BRIGADE,brigade-enterprises-ltd
BRIGHOTEL,brigade-hotel-ventures-ltd
BRIGHTBR,bright-brothers-ltd
BRITANNIA,britannia-industries-ltd
BRNL,bharat-road-network-ltd
BROOKS,brooks-laboratories-ltd
BSE,bse-ltd
BSHSL,bombay-super-hybrid-seeds-ltd
BSL,bsl-ltd
BSOFT,birlasoft-ltd
BTML,bodhi-tree-multimedia-ltd
BTTL,bhilwara-technical-textiles-ltd
BUILDPRO,shankara-buildpro-ltd
BURNPUR,burnpur-cement-ltd
BUTTERFLY,butterfly-gandhimathi-appliances-ltd
BVCL,barak-valley-cements-ltd
BYKE,the-byke-hospitality-ltd
CALSOFT,california-software-company-ltd
CAMLINFINE,camlin-fine-sciences-ltd
CAMPUS,campus-activewear-ltd
CAMS,computer-age-management-services-ltd
CANBK,canara-bank
CANFINHOME,can-fin-homes-ltd
CANHLIFE,canara-hsbc-life-insurance-company-ltd
CANTABIL,cantabil-retail-india-ltd
CAPACITE,capacit-e-infraprojects-ltd
CAPILLARY,capillary-technologies-india-ltd
CAPITALSFB,capital-small-finance-bank-ltd
CAPLIPOINT,caplin-point-laboratories-ltd
CAPTRUST,capital-trust-ltd
CARBORUNIV,carborundum-universal-ltd
CARERATING,care-ratings-ltd
CARRARO,carraro-india-ltd
CARTRADE,cartrade-tech-ltd
CARYSIL,carysil-ltd
CASTROLIND,castrol-india-ltd
CCAVENUE,avenuesai-ltd
CCCL,consolidated-construction-consortium-ltd
CCHHL,country-club-hospitality-holidays-ltd
CCL,ccl-products-india-ltd
CDSL,central-depository-services-india-ltd
CEATLTD,ceat-ltd
CEIGALL,ceigall-india-ltd
CEINSYS,ceinsys-tech-ltd
CELEBRITY,celebrity-fashions-ltd
CELLO,cello-world-ltd
CEMPRO,cemindia-projects-ltd
CENTENKA,century-enka-ltd
CENTEXT,century-extrusions-ltd
CENTRALBK,central-bank-of-india
CENTRUM,centrum-capital-ltd
CENTUM,centum-electronics-ltd
CENTURYPLY,century-plyboards-india-ltd
CERA,cera-sanitaryware-ltd
CEREBRAINT,cerebra-integrated-technologies-ltd
CESC,cesc-ltd
CEWATER,concord-enviro-systems-ltd
CFEL,confidence-futuristic-energetech-ltd
CGCL,capri-global-capital-ltd
CGPOWER,cg-power-and-industrial-solutions-ltd
CGVAK,cg-vak-software-exports-ltd
CHALET,chalet-hotels-ltd
CHAMBLFERT,chambal-fertilizers-chemicals-ltd
CHEMBOND,chembond-material-technologies-ltd
CHEMBONDCH,chembond-chemicals-ltd
CHEMCON,chemcon-speciality-chemicals-ltd
CHEMCRUX,chemcrux-enterprises-ltd
CHEMFAB,chemfab-alkalis-ltd
